date,direction,service_type,time,primary_flight_number,primary_airline,codeshare_flight_numbers,codeshare_airlines,codeshare_count,origin,destination,status
2026-08-31,departure,cargo,06:55,CX 3286,CPA,,,0,HKG,ANC → JFK,Dep 06:53
2026-08-31,departure,cargo,07:00,CK 264,CKK,,,0,HKG,CKG,Cancelled
2026-08-31,departure,cargo,07:05,CI 5828,CAL,,,0,HKG,TPE,Dep 15:45
2026-08-31,departure,cargo,07:15,CX 2049,CPA,,,0,HKG,HAN,Dep 09:25
2026-08-31,departure,cargo,07:20,HQ 9061,ADZ,,,0,HKG,DWC,Dep 07:54
2026-08-31,departure,cargo,07:20,CX 3245,CPA,,,0,HKG,DEL,Dep 07:15
2026-08-31,departure,cargo,07:30,K4 253,CKS,,,0,HKG,ANC → CVG,Dep 07:22
2026-08-31,departure,cargo,08:40,EK 9781,UAE,,,0,HKG,DWC,Dep 08:38
2026-08-31,departure,cargo,08:55,RH 9457,HKC,,,0,HKG,DEL,Dep 19:11
2026-08-31,departure,cargo,09:00,7L 1612,AZG,,,0,HKG,ANC → ORD,Dep 08:51
2026-08-31,departure,cargo,09:05,TK 6291,THY,,,0,HKG,CIT → IST,Dep 09:09
2026-08-31,departure,cargo,09:05,MB 728,MNB,,,0,HKG,AMD → BAH,Dep 13:01
2026-08-31,departure,cargo,09:30,ET 3035,ETH,,,0,HKG,ADD,Cancelled
2026-08-31,departure,cargo,09:50,CX 098,CPA,,,0,HKG,ANC → ORD,Dep 10:02
2026-08-31,departure,cargo,10:10,QR 8409,QTR,,,0,HKG,DOH,Dep 09:51
2026-08-31,departure,cargo,10:10,EK 9849,UAE,,,0,HKG,DXB,Dep 10:06
2026-08-31,departure,cargo,10:15,HQ 8056,ADZ,,,0,HKG,DMM,Dep 09:57
2026-08-31,departure,cargo,10:35,MP 9472,MPH,,,0,HKG,GYD → AMS,Dep 10:50
2026-08-31,departure,cargo,10:40,SQ 7974,SIA,,,0,HKG,ANC → LAX,Dep 10:48
2026-08-31,departure,cargo,11:35,CV 753,CLX,,,0,HKG,GYD → LUX,Dep 14:05
2026-08-31,departure,cargo,11:50,5Y 8230,GTI,,,0,HKG,ANC → MIA,Dep 12:05
2026-08-31,departure,cargo,12:00,T8 4728,TVR,,,0,HKG,DMM,Dep 11:48
2026-08-31,departure,cargo,12:00,RH 9631,HKC,,,0,HKG,NMI,Dep 14:24
2026-08-31,departure,cargo,12:30,CX 049,CPA,,,0,HKG,BOM,Dep 15:10
2026-08-31,departure,cargo,13:05,3S 510,BOX,,,0,HKG,CVG,Dep 13:00
2026-08-31,departure,cargo,13:05,3S 520,BOX,,,0,HKG,CVG,Cancelled
2026-08-31,departure,cargo,13:10,CV 283,CLX,,,0,HKG,ANC → GDL → NLU → LUX,Dep 13:22
2026-08-31,departure,cargo,13:10,KE 8314,KAL,,,0,HKG,ICN,Dep 14:44
2026-08-31,departure,cargo,13:20,5X 065,UPS,,,0,HKG,ANC → SDF,Dep 13:51
2026-08-31,departure,cargo,14:05,3S 719,BOX,,,0,HKG,LEJ,Dep 13:55
2026-08-31,departure,cargo,14:40,KZ 206,NCA,,,0,HKG,NRT,Dep 14:29
2026-08-31,departure,cargo,14:45,WW 862,KXP,,,0,HKG,KUL,Cancelled
2026-08-31,departure,cargo,14:55,SV 3967,SVA,,,0,HKG,RUH,Dep 21:22
2026-08-31,departure,cargo,15:30,CX 2084,CPA,,,0,HKG,ANC → LAX → PDX,Dep 21:30
2026-08-31,departure,cargo,15:35,CP 182,LSI,,,0,HKG,OTP,Dep 08:19 (01/09/2026)
